Vendor_ID,Business_Name,Business_Address1,Business_Address2,Business_City,Business_State,Business_Zip,Business_Phone,Filing_Year,Filing_Date,Amendment,Aggregate_Contribution_Amount,Contributor_Name,Contributor_Address1,Contributor_Address2,Contributor_City,Contributor_State,Contributor_Zip,Contributor_Phone,Contribution_Date,Contribution_Amount,Recipient_Name
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,05/10/2024,500.0000,Amato for Senate
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,04/26/2024,2500.0000,Bengivenga for Council
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,09/27/2024,2500.0000,Bengivenga for Council
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,04/26/2024,750.0000,CTE Patrick Diegnan
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,05/10/2024,500.0000,CTE Sara Sooy
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,06/28/2024,500.0000,CTE Sara Sooy
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,08/01/2024,100.0000,CTE Sara Sooy
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,06/28/2024,600.0000,CTE Shanel Robinson
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,04/01/2024,2400.0000,Election Fund of Brian Wahler
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,09/24/2024,1000.0000,Election Fund of Brian Wahler
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,04/01/2024,200.0000,Election Fund of Gabrielle Cahill
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,09/24/2024,1000.0000,Election Fund of Gabrielle Cahill
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,05/10/2024,500.0000,Friends of Ali Zanghi for Townshp Comm
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,09/13/2024,250.0000,Friends of Ali Zanghi for Townshp Comm
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,07/03/2024,300.0000,Friends of Evelyn O'Donnell
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,05/10/2024,500.0000,Friends of Peter Terranova-Hazlet Twp Com
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,09/13/2024,250.0000,Friends of Peter Terranova-Hazlet Twp Com
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,02/08/2024,300.0000,Ian Nadel for Howell Council
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,03/11/2024,200.0000,Joseph DeScenza for Council
10694,T. O. Najarian Associates Inc,1 Industrial Way West,Building D Suite H,Eatontown,,07724,732-389-0220,2024,03/17/2025,No,36850.0000,T. O. Najarian Associates,1 Industrial Way West,,Eatontown,,07724,732-389-0220,08/09/2024,100.0000,Joseph DeScenza for Council
